,Date of report,RC,HW,RS,RN,PS,A,C,D,KW,T,PN,N,FN,FS,MW,ME,B,E,GS,KE,GN,S,HE,L,Grand Total
1,As on 22nd Aug,7331,3752,6473,3524,4507,3322,1892,5671,7539,5812,8080,6885,5222,6262,4017,4657,1190,5365,5823,8341,7895,7331,4607,5803,131301.0
2,23-Aug,77,50,59,24,50,43,25,45,35,53,64,37,49,42,24,20,5,30,30,29,31,40,29,28,919.0
3,24-Aug,61,18,62,21,34,17,13,32,70,30,35,35,24,24,13,30,7,25,29,35,33,12,13,15,688.0
4,25-Aug,38,14,60,25,23,11,9,40,29,31,30,22,18,27,14,16,4,20,11,15,17,25,21,17,537.0
5,26-Aug,178,82,129,83,73,70,23,86,131,74,79,76,47,63,43,59,6,57,44,67,72,67,30,32,1671.0
6,27-Aug,161,54,130,59,57,37,16,82,80,36,77,59,41,47,41,24,7,34,43,59,48,43,26,34,1295.0
7,28-Aug,128,56,76,46,37,33,22,58,68,59,88,46,41,51,31,35,13,19,49,56,60,50,23,35,1180.0
8,29-Aug,136,76,75,51,69,37,33,61,65,51,86,85,48,61,30,28,9,43,40,79,55,53,27,41,1339.0
9,As on 29th Aug,8110,4102,7064,3833,4850,3570,2033,6075,8017,6146,8539,7245,5490,6577,4213,4869,1241,5593,6069,8681,8211,7621,4776,6005,138930.0
10,Days to double,48,54,56,58,66,67,68,71,79,87,88,95,97,99,102,109,116,117,117,121,124,125,135,142,86.0
